EngGamename,Serial,crc
10-Pin Bowling (Europe),CGB-AXPP-EUR,5449CAC0
10-Pin Bowling (USA) (Rumble Version),CGB-VP9E-USA,720C7023
102 Dalmatas - Cachorros Al Rescate (Spain),CGB-B99P-EUR,F2128908
102 Dalmatiens a la Rescousse| Les (France),CGB-B99P-EUR,E84191A8
102 Dalmatiner (Germany),CGB-B99P-EUR,725A3483
3-D Ultra Pinball - Thrillride (USA) (Rumble Version),CGB-VUPE-USA,1766E558
4x4 World Trophy (Europe) (En|Fr|De|Es|It),DMG-AQ3P,F62AD75E
Adventures of Elmo in Grouchland| The (Europe),DMG-AELP-EUR,41228EE7
Adventures of Elmo in Grouchland| The (USA),DMG-AELE-USA,2C4C2A5F
Adventures of the Smurfs| The (Europe) (En|Fr|De|Es|It|Nl),CGB-BSFP-UKV-1,D0D3DFED
AirForce Delta (Japan),CGB-BDLJ-JPN,5DFFF5E2
AirForce Delta (USA),CGB-BDLE-USA,FF31CC92
Aladdin (Europe) (En|Fr|De|Es|It|Nl),CGB-BADP-EUR,446573CD
Aladdin (USA),CGB-BADE-USA,A91EC059
Alfred's Adventure (Europe) (En|Fr|De|Es|It),CGB-BAAP-EUR,6F9EF15E
Alice in Wonderland (Europe) (En|Fr|De|Es),CGB-AIWP-EUR,85545D81
Alice in Wonderland (USA),CGB-AIWE-USA,3199F65F
All Star Tennis 2000 (Europe),DMG-AZTP-EUR,952B94E5
All-Star Baseball 2001 (USA),CGB-BASE-USA,BC562466
Alone in the Dark - The New Nightmare (Europe) (En|Fr|De|Es|It|Nl),CGB-BIDP-EUR,7FF2042F
Alone in the Dark - The New Nightmare (USA) (En|Fr|Es),CGB-BIDE-USA,C145C036
Animal Breeder 3 (Japan) (SGB Enhanced),DMG-AA3J-JPN,C62A4C30
Animal Breeder 4 (Japan),CGB-A4AJ-JPN,83D838C3
Animastar GB (Japan),CGB-BNMJ-JPN,B14920F0
Animorphs (Europe) (En|Fr|De|Es|It),CGB-BAMP-EUR,7FD46DA1
Animorphs (USA),CGB-BAME-USA,B4F293CC
Anpfiff - Der RTL Fussball-Manager (Germany),CGB-BFB,B54D264A
Antz (Europe) (En|Fr|De|Es|It|Nl),DMG-ANXP,4839E0C1
Antz (USA) (En|Fr|Es),DMG-ANXE-USA,DC0BE439
Antz Racing (Europe) (En|Fr|De|Es|It|Nl),CGB-BAZP-EUR,F625A959
Antz Racing (USA) (En|Fr|De|Es|It|Nl),CGB-BAZE-USA,DFDF90C0
Aqualife (Japan) (SGB Enhanced),DMG-AALJ-JPN,E243FEB4
Arle no Bouken - Mahou no Jewel (Japan) (SGB Enhanced),DMG-BRBJ-JPN,8EE043EA
Armada - FX Racers (USA),CGB-BARE-USA,D952CBAB
Arthur's Absolutely Fun Day! (USA),CGB-BFDE-USA,F03599A3
Asterix & Obelix (Europe) (En|Fr|De|Es),CGB-AOLP,6628CDEE
Asterix & Obelix vs Caesar (Europe) (En|Fr|De|Es|Nl),DMG-BAOP,71043D76
Atsumete Asobu Kuma no Pooh-san - Mori no Takaramono (Japan),CGB-BPUJ-JPN,476EDE93
Austin Powers - Oh| Behave! (Europe) (En|Fr|De|Es|It),CGB-BAPP-EUR,BF99F8CB
Austin Powers - Oh| Behave! (USA),CGB-BAPE-USA,BB89190E
Austin Powers - Welcome to my Underground Lair! (USA),CGB-BEAE-USA,ABA42B78
Aventures de Buzz l'Eclair| Les (France),CGB-BUZP-EUR,841674B0
Azarashi Sentai Inazuma - Dokidoki Daisakusen! (Japan),CGB-BOAJ-JPN,98F63BD4
Azure Dreams (Europe) (En|Fr|De) (SGB Enhanced),DMG-AAYP-EUR,F9CCAB09
Azure Dreams (USA) (SGB Enhanced),DMG-AAZE-USA,71D52876
B-Daman Bakugaiden - Victory e no Michi (Japan) (SGB Enhanced),DMG-AOKJ-JPN,DDCE76D6
B-Daman Bakugaiden V - Final Mega Tune (Japan),CGB-AJRJ-JPN,547A9A69
Babe and Friends (Europe) (En|Fr|De|Es|It),DMG-AVAP,B3681854
Babe and Friends (USA),DMG-AVAE-USA,E25407F1
Baby Felix - Halloween (Europe) (En|Fr|De|Es|It|Nl),CGB-BFHP-EUR,7DED5C71
Backgammon (Europe) (En|Fr|De|Es),DMG-AAKP-EUR,D33D6F7B
Backgammon (Japan),DMG-AAKJ-JPN,712A49B3
Bad Badtz-Maru Robo Battle (Japan),CGB-BBRJ-JPN,4DD29B09
Bakukyuu Renpatsu!! Super B-Daman - Gekitan! Rising Valkyrie!! (Japan) (SGB Enhanced),DMG-A4RJ-JPN,5C95D5A2
Bakusou Dekotora Densetsu GB Special - Otoko Dokyou no Tenka Touitsu (Japan),CGB-BDBJ-JPN,92C8B9B5
Bakusou Senki Metal Walker GB - Koutetsu no Yuujou (Japan),DMG-AUEJ-JPN,D514C9A0
Bakuten Shoot Beyblade (Japan),CGB-BB3J-JPN,BC306EA4
Ballistic (USA),DMG-ALIE-USA,A9050F72
Balloon Fight GB (Japan) (NP| SGB Enhanced),DMG-BSJ-JPN,D2AF64CE
Barbie - Aventura Submarina (Spain),DMG-ADYP-EUR,0CF2B7F2
Barbie - Avventure nell'Oceano (Italy),DMG-ADYP-EUR,59645A18
Barbie - Chasse au Tresor Sous-Marine (France),DMG-ADYP-EUR,4068E981
Barbie - Diepzee Avontuur (Netherlands),DMG-ADYP-EUR,39C6B8DF
Barbie - Magic Genie Adventure (USA),CGB-BMCE-USA,57F1A202
Barbie - Meeres Abenteuer (Germany),DMG-ADYP-EUR,5E46D64A
Barbie - Ocean Discovery (Europe),DMG-ADYP-EUR,FDC8E7F1
Barbie - Ocean Discovery (USA),DMG-ADYE-USA,746936C6
Barbie - Pet Rescue (Europe) (En|Fr|De|Es|It),CGB-BPEP-EUR,48E638CE
Barbie - Pet Rescue (USA),CGB-BPEE-USA,1FC972CC
Barcode Taisen Bardigun (Japan) (SGB Enhanced),DMG-ABEJ-JPN,DDFCF4B7
Batman Beyond - Return of the Joker (USA),CGB-BTKE-USA,B32F4586
Batman of the Future - Return of the Joker (Europe) (En|Fr|De),CGB-BTKP-EUR,F9D5B399
Battle Fishers (Japan),CGB-BBAJ-JPN,C99CF3C5
BattleTanx (Europe) (En|Fr|De),CGB-AVNP,2FCECB70
BattleTanx (USA),CGB-AVNE-USA,4431F8E7
Beach'n Ball (Europe) (En|Fr|De|Es|It),CGB-BVBP-EUR,82D1A721
Bear in the Big Blue House (Europe) (En|Fr|De|Es|It|Nl),CGB-BBNP-EUR,48C99939
Bear in the Big Blue House (USA) (En|Fr|De|Es|It|Nl),CGB-BB7E-USA,851C8710
Beatmania GB (Japan) (SGB Enhanced),DMG-AOOJ-JPN,0D9CB195
Beatmania GB - Gotcha Mix 2 (Japan),CGB-B3GJ-JPN,B92A6D16
Beatmania GB2 - Gotcha Mix (Japan) (SGB Enhanced),DMG-A2GJ-JPN,59BEB372
Beauty and the Beast - A Board Game Adventure (Europe) (En|Fr|De|Es|It) (SGB Enhanced),DMG-AVUP-EUR,E4C410F0
Beauty and the Beast - A Board Game Adventure (USA) (SGB Enhanced),DMG-AVUE-USA,6DE1D581
Benjamin Bluemchen - Ein verrueckter Tag im Zoo (Germany),CGB-BB5D-NOE,51972995
Beyblade - Fighting Tournament (Japan),CGB-BBVJ-JPN,1EC9DB95
Bibi und Tina - Fohlen Felix in Gefahr (Germany),CGB-BFED-NOE,8874ACD4
Bikkuriman 2000 - Charging Card GB (Japan) (SGB Enhanced),DMG-BC2J-JPN,5BE2517C
Biohazard Gaiden (Japan),CGB-BIOJ-JPN,C2531D36
Black Onyx| The (Japan),CGB-BBOJ-JPN,582FE338
Blue's Clues - Blue's Alphabet Book (USA),CGB-BALE-USA,748D1345
Boarder Zone (USA),CGB-AXWE-USA,A7152869
Bob the Builder - Fix it Fun! (Europe) (En|Fr|De|Es|Nl),CGB-BOBP-EUR,EA33FE3D
Bob the Builder - Fix it Fun! (Europe) (En|Fr|It),CGB-BOBP-EUR,A8EBD88B
Bob the Builder - Fix it Fun! (Europe) (En|Sv|No|Da|Fi),CGB-BOBP-EUR,F319E823
Bob the Builder - Fix it Fun! (USA),CGB-BOBE-USA,93FA37BD
Boku no Camp-jou (Japan),CGB-BDPJ-JPN,C87120B5
Bokujou Monogatari GB2 (Japan),DMG-A37J-JPN,EE993302
Bokujou Monogatari GB3 - Boy Meets Girl (Japan),CGB-BWAJ-JPN,3A18B41F
Bomber Man Max - Hikari no Yuusha (Japan),CGB-A8BJ-JPN,7A44CE88
Bomber Man Max - Yami no Senshi (Japan),CGB-A7BJ-JPN,48B60E8E
Bomberman Max - Blue Champion (USA),CGB-A8BE-USA,5CCB66CF
Bomberman Max - Red Challenger (USA),CGB-A7BE-USA,4853F586
Bomberman Quest (Europe) (En|Fr|De) (SGB Enhanced),DMG-AQVP-EUR,5A9B9AE6
Bomberman Quest (USA) (SGB Enhanced),DMG-AVQE-USA,A089C656
Brave Saga - Shinshou Astaria (Japan),CGB-BBSJ-JPN,5D5D294A
Bug's Life| A (Europe) (SGB Enhanced),DMG-APXP-EUR,DB93E0F6
Bug's Life| A (USA) (SGB Enhanced),DMG-APXE-USA,8360047A
Bugs Bunny & Lola Bunny - Operation Carrots (Europe) (En|Fr|De|Es|It|Nl),DMG-ABLP-EUR,F0CC407F
Bugs Bunny - Crazy Castle 3 (Japan),DMG-AB6J-JPN,AE839CAE
Bugs Bunny et le Chateau des Catastrophes (France),CGB-AO4P-EUU,6DA8E6EB
Bugs Bunny in Crazy Castle 4 (Europe),CGB-AO4P-EUU,53155E60
Bugs Bunny in Crazy Castle 4 (Japan),CGB-AO4J-JPN,D6387EAA
Bugs Bunny in Crazy Castle 4 (USA),CGB-AO4E-USA,98DBFFE0
Burai Senshi Color (Japan),CGB-AZYJ-JPN,E52FBD12
Burger Burger Pocket (Japan) (SGB Enhanced),DMG-ABNJ-JPN,1ABCEDBE
Burger Paradise International (Japan),CGB-AEYJ-JPN,9092B0EB
Cannon Fodder (Europe) (En|Fr|De|Es|It),CGB-BCFP-EUR,824C3BF3
Cannon Fodder (USA) (En|Fr|De|Es|It),CGB-BCFE-USA,26F8E1A0
Captain Buzz Lightyear - Star Command (Germany),CGB-BUZP-EUR,F06D296C
Cardcaptor Sakura - Itsumo Sakura-chan to Issho (Japan),DMG-AM7J-JPN,89BA58ED
Cardcaptor Sakura - Itsumo Sakura-chan to Issho (Japan) (Rev A),DMG-AM7J-JPN,43F28E22
Cardcaptor Sakura - Itsumo Sakura-chan to Issho (Japan) (Rev B),DMG-AM7J-JPN,7243E258
Cardcaptor Sakura - Tomoeda Shougakkou Daiundoukai (Japan),CGB-BS7J-JPN,F78F7998
Carl Lewis Athletics 2000 (Europe) (En|Fr|De|Es|It|Nl),CGB-BCLP-EUR,15430979
Carmageddon - Carpocalypse Now (Germany),CGB-AKWD-NOE,B447BC06
Casper (Europe) (En|Es|It),CGB-AF9P-EUR,DAEFE53C
Casper (Europe) (En|Fr|De),CGB-AF9P-EUR,E6B9F155
Casper (USA),CGB-AF9E-USA,C775D653
Catwoman (Europe),CGB-A3CP-EUR,41E78645
Catwoman (USA),CGB-A3CE-USA,12F0C196
Catz - Your Virtual Petz Palz (Europe),CGB-AZCP-EUR,099D6555
Catz - Your Virtual Petz Palz (USA),CGB-AZCE-USA,769A2C5A
Centipede (Europe) (En|Fr|De|Es|It|Nl),DMG-AC5P-EUR,255DB8BE
Centipede (USA),DMG-AC5E-USA,13AD07B1
Chase H.Q. - Secret Police (Europe) (SGB Enhanced),DMG-AH9P-EUR,CFDF816B
Chase H.Q. - Secret Police (USA) (SGB Enhanced),DMG-AH9E-USA,7C7FDEFC
Checkmate (Japan) (En|Ja),DMG-ACZJ-JPN,1AAB415D
Chee-Chai Alien (Japan) (Rumble Version),CGB-VCAJ-JPN,9E988FFE
Chi to Ase to Namida no Koukou Yakyuu (Japan),CGB-BBJJ-JPN,3C39BCAB
Chibi Maruko-chan - Go Chounai Minna de Game Da yo! (Japan),CGB-BCNJ-JPN,20FAA0D1
Chiki Chiki Machine Mou Race (Japan),CGB-AW9J-JPN,36C04BE0
Choro Q - Hyper Customable GB (Japan) (SGB Enhanced),DMG-ACQJ-JPN,65610CA4
Classic Bubble Bobble (Europe) (SGB Enhanced),DMG-AVWP-EUR,A0F66D87
Classic Bubble Bobble (USA) (SGB Enhanced),DMG-AVWE-USA,C1B22246
Colin McRae Rally (Europe),CGB-BCOP-EUR,E93AF9C8
Columns GB - Tezuka Osamu Characters (Japan) (SGB Enhanced),DMG-AOYJ-JPN,FBE5DE37
Command Master (Japan),CGB-KCEJ-JPN,D10B5645
Cool Bricks (Europe) (En|Fr|De|Es|It),CGB-BOGP-EUR,04FE7790
Cool Hand (Europe) (En|Fr|De),DMG-ACWP-EUR,E6C91FB8
Crazy Bikers (Europe),CGB-AMHP-EUR,53E02B87
Cross Country Racing (Europe) (En|Fr|De) (SGB Enhanced),DMG-ARLP-EUR,B7B91FE9
Cross Hunter - Monster Hunter Version (Japan),CGB-BC8J-JPN,48E1BA7D
Cross Hunter - Treasure Hunter Version (Japan),CGB-BC7J-JPN,623C1516
Cross Hunter - X Hunter Version (Japan),CGB-BC9J-JPN,858010E0
Cruis'n Exotica (USA),CGB-BXOE-USA,9562E7E8
Crystalis (USA),CGB-AYJE-USA,909BB02D
Cubix - Robots for Everyone - Race 'n Robots (USA) (En|Fr|De|Es|It),CGB-BCXE-USA,9F883B0F
Cyborg Kuro-chan - Devil Fukkatsu (Japan),CGB-BSKJ-JPN,392D630F
Cyborg Kuro-chan 2 - White Woods no Gyakushuu (Japan),CGB-BSBJ-JPN,E86BF12E
DT - Lords of Genomes (Japan) (SGB Enhanced),DMG-BBDJ-JPN,42CEB854
DX Jinsei Game (Japan),CGB-BZGJ-JPN,7E15B3DD
DX Monopoly GB (Japan) (SGB Enhanced),DMG-BMPJ-JPN,3F1E076C
Daa! Daa! Daa! - Totsuzen Card de Battle de Uranai de! (Japan),CGB-BDOJ-JPN,F41BB392
Daffy Duck - Subette Koron de Oogane Mochi (Japan),DMG-AD7J-JPN,5B4507D9
Daikaijuu Monogatari - Poyon no Dungeon Room (Japan) (SGB Enhanced),DMG-ADZJ-JPN,2F368DA6
Daikaijuu Monogatari - Poyon no Dungeon Room 2 (Japan),DMG-ADZJ-JPN,5E312730
Daikaijuu Monogatari - The Miracle of the Zone II (Japan) (SGB Enhanced),DMG-AM6J-JPN,692D6794
Daiku no Gen-san - Kachikachi no Tonkachi ga Kachi (Japan) (SGB Enhanced),DMG-BGNJ-JPN,E2071293
Dance Dance Revolution GB (Japan),CGB-BDGJ-JPN,C64FF2B6
Dance Dance Revolution GB - Disney Mix (Japan),CGB-BD7J-JPN,B31A59BF
Dance Dance Revolution GB2 (Japan),CGB-BD2J-JPN,565FEC36
Dance Dance Revolution GB3 (Japan),DMG-BD6J-JPN,58F26F36
Dancing Furby (Japan),DMG-BFBJ-JPN,3263F692
Data-Navi Pro Yakyuu (Japan),CGB-A89J-JPN,C958AD75
Data-Navi Pro Yakyuu 2 (Japan),CGB-B8QJ-JPN,96071AD0
David Beckham Soccer (Europe) (En|Fr|De|Es|It),CGB-BJ2P-EUR,753BDCE4
Deadly Skies (Europe) (En|Fr|De),CGB-BDLP-EUR,402DE378
Dear Daniel no Sweet Adventure - Kitty-chan o Sagashite (Japan) (SGB Enhanced),DMG-BSAJ-JPN,0FD34427
Deer Hunter (USA),CGB-AXHE-USA,40A715FB
Deja Vu I & II - The Casebooks of Ace Harding (Japan),CGB-ADTJ-JPN,BAF2CC96
Deja Vu I & II - The Casebooks of Ace Harding (USA),CGB-ADTE-USA,AD0937F4
Dejiko no Mahjong Party (Japan),CGB-BQSJ-JPN,C5501FCE
Densha de Go! (Japan),CGB-A72J-JPN,14375072
Densha de Go! 2 (Japan),CGB-B82J-JPN,B72603FC
Dino Breeder 3 - Gaia Fukkatsu (Japan) (SGB Enhanced),DMG-AD3J-JPN,D9F071BB
Dino Breeder 4 (Japan) (SGB Enhanced),DMG-A4DJ-JPN,B0106777
Diva Starz - Mall Mania (USA),CGB-BD8E-USA,EBE0ECD6
Dogz - Your Virtual Petz Palz (USA),CGB-AOZE-USA,A8397183
Dokapon! - Millennium Quest (Japan) (SGB Enhanced),DMG-BDKJ-JPN,4FE9E966
Doki x Doki Sasete!! (Japan),CGB-BP6J-JPN,19A73F60
Dokidoki Densetsu - Mahoujin Guruguru (Japan),CGB-B96J-JPN,83E47A1A
Donald Duck - Daisy o Sukue! (Japan),CGB-BUDJ-JPN,333C124C
Donald Duck - Goin' Quackers (USA) (En|Fr|De|Es|It),CGB-BQAE-USA,4685909B
Donald Duck - Quack Attack (Europe) (En|Fr|De|Es|It),CGB-BQAP-EUR,07A13B5B
Donkey Kong 2001 (Japan),CGB-BDDJ-JPN,CB065EBA
Donkey Kong GB - Dinky Kong & Dixie Kong (Japan),CGB-AD3J-JPN,28D7E8D3
Doraemon - Aruke Aruke Labyrinth (Japan),CGB-ADAJ-JPN,F6D79A79
Doraemon - Kimi to Pet no Monogatari (Japan),DMG-BRDJ-JPN,2FA46211
Doraemon Kart 2 (Japan) (SGB Enhanced),DMG-ADOJ-JPN,CF1A2038
Doraemon Memories - Nobita no Omoide Daibouken (Japan),DMG-BDMJ-JPN,D187CEC4
Doraemon no Quiz Boy (Japan),CGB-BQBJ-JPN,3BBF9EA8
Doraemon no Quiz Boy (Japan) (Rev A),CGB-BQBJ-JPN,915356E3
Doraemon no Quiz Boy 2 (Japan),CGB-BQ7J-JPN,9E80199A
Doraemon no Study Boy - Gakushuu Kanji Game (Japan),CGB-BGKJ-JPN,67413F65
Doraemon no Study Boy - Kanji Yomikaki Master (Japan),CGB-BKYJ-JPN,70156DA7
Doraemon no Study Boy - Kuku Game (Japan),CGB-BQQJ-JPN,A8A353D8
Doug - La Grande Aventure (France),CGB-BDUD-NOE,A9E62F1A
Doug's Big Game (Europe),CGB-BDUD-NOE,B6FFBCCA
Doug's Big Game (Germany),CGB-BDUD-NOE,5DC254D1
Doug's Big Game (USA),CGB-BDUE-USA,08E3D065
Dr. Rin ni Kiitemite! - Koi no Rin Fuusui (Japan),CGB-BDFJ-JPN,EC168A61
Dracula - Crazy Vampire (USA),CGB-BUAE-USA,283742E4
Dragon Ball Z - Densetsu no Chou Senshi-tachi (Japan),CGB-BBZJ-JPN,7D28689A
Dragon Ball Z - Guerreros de Leyenda (Spain),CGB-BBZP-EUR,9DAD6E23
Dragon Ball Z - I Leggendari Super Guerrieri (Italy),CGB-BBZP-EUR,A888A049
Dragon Ball Z - Legendaere Superkaempfer (Germany),CGB-BBZP-EUR,EC7DFDC1
Dragon Ball Z - Legendary Super Warriors (Europe),CGB-BBZP-EUR,7BF836DB
Dragon Ball Z - Legendary Super Warriors (USA),CGB-BBZE-USA,025AA88A
Dragon Ball Z - Les Guerriers Legendaires (France),CGB-BBZP-EUR,C07E9438
Dragon Dance (USA) (SGB Enhanced),DMG-BDAE-USA,0602DBE1
Dragon Quest I & II (Japan) (SGB Enhanced),DMG-AEDJ-JPN,A053B42E
Dragon Quest III - Soshite Densetsu e... (Japan),CGB-BD3J-JPN,21078C16
Dragon Quest Monsters (Germany) (SGB Enhanced),DMG-AWQP-EUR,2A82B63B
Dragon Quest Monsters - Terry no Wonderland (Japan) (Rev A) (SGB Enhanced),DMG-ADQJ-JPN,D263D88D
Dragon Quest Monsters - Terry no Wonderland (Japan) (SGB Enhanced),DMG-ADQJ-JPN,4702C4F1
Dragon Quest Monsters 2 - Maruta no Fushigi na Kagi - Iru no Bouken (Japan) (SGB Enhanced),DMG-BQIJ-JPN,68BA18D7
Dragon Quest Monsters 2 - Maruta no Fushigi na Kagi - Ruka no Tabidachi (Japan) (SGB Enhanced),DMG-BQLJ-JPN,2C428A87
Dragon Tales - Dragon Adventures (USA),CGB-BDWE-USA,DE390609
Dragon Tales - Dragon Wings (USA),CGB-BDZE-USA,191D31EC
Dragon Warrior I & II (USA) (SGB Enhanced),DMG-AEDE-USA,71D693DA
Dragon Warrior III (USA),CGB-BD3E-USA,0FD9C59C
Dragon Warrior Monsters 2 - Cobi's Journey (USA) (SGB Enhanced),DMG-BQLE-USA,AB7BFDD5
Dragon Warrior Monsters 2 - Tara's Adventure (USA) (SGB Enhanced),DMG-BQIE-USA,35EC5FB2
Driver (Europe) (En|Fr|De|Es|It),CGB-BDRP-EUR,E9E67403
Driver - You are the Wheelman (USA) (En|Fr|De|Es|It),CGB-BDRE-USA,D4C7F6DF
Dropzone (Europe),DMG-AD4P-EUR,1E71B67E
Duke Nukem (Europe) (En|Fr|De|Es|It),CGB-ADIP-EUR,FC3D1BB7
Duke Nukem (USA) (En|Fr|De|Es|It),CGB-ADIE-USA,846FC830
Dukes of Hazzard| The - Racing for Home (USA),CGB-BDCE-USA,FB08DCEB
Dungeon Savior (Japan) (SGB Enhanced),DMG-ADWJ-JPN,2BCB5F78
E.T. - The Extra-Terrestrial - Digital Companion (USA),CGB-BETE-USA,84872999
E.T. - The Extra-Terrestrial - Escape from Planet Earth (USA),CGB-BERE-USA,086106DE
E.T. - The Extra-Terrestrial and the Cosmic Garden (Europe) (En|Fr|De|Es|It|Nl),CGB-BEOP-EUR,8321A1B9
E.T. - The Extra-Terrestrial and the Cosmic Garden (USA),CGB-BEOE-USA,32C87958
ESPN International Track & Field (USA),CGB-B3HE-USA,4005D541
ESPN National Hockey Night (USA),CGB-BT4E-USA,600F61F9
Elevator Action EX (Europe) (En|Fr|De|Es|It),CGB-BEXP-EUR,2154763C
Elevator Action EX (Japan),CGB-BEXJ-JPN,B70C4DDB
Elie no Atelier GB (Japan) (SGB Enhanced),DMG-A8EJ-JPN,7967320E
Elmo's 123s (Europe),DMG-AE3P-EUR,3BF7FCD4
Elmo's 123s (USA),DMG-AE3E-USA,1833FB38
Elmo's ABCs (Europe),DMG-AEAP-EUR,20158FBC
Elmo's ABCs (USA),DMG-AEAE-USA,CC1FB2A9
Emperor's New Groove| The (Europe) (En|Fr|De|Es|It),CGB-BENP-EUR,4CAA8CD0
Emperor's New Groove| The (USA),CGB-BENE-USA,6EBAD539
Estpolis Denki - Yomigaeru Densetsu (Japan),CGB-BCLJ-JPN,54617416
Evel Knievel (Europe) (En|Fr|De|Es|It|Nl|Sv),DMG-AEVP-EUR,DFD6A908
Evel Knievel (USA),DMG-AEVE-USA,51E951B5
F-1 World Grand Prix (Europe) (En|Fr|De|Es),CGB-AFIP-EUR,8D9A9182
F.A. Premier League Stars 2001| The (Europe),CGB-BSJP-UKV,5E3844FB
F1 Racing Championship (Europe) (En|Fr|De|Es|It),CGB-AEQP-EUR,E115DDB1
F1 World Grand Prix II for Game Boy Color (Europe) (En|Fr|De|Es),CGB-BF2P-EUR,EEF4A20B
F1 World Grand Prix II for Game Boy Color (Japan) (En|Ja),CGB-BF2J-JPN,28453467
F1 World Grand Prix II for Game Boy Color (USA) (En|Fr|De|Es),CGB-BF2E-USA,482E10C5
Fairy Kitty no Kaiun Jiten - Yousei no Kuni no Uranai Shugyou (Japan) (Rev A) (SGB Enhanced),DMG-AFUJ-JPN,C4D3628F
Fairy Kitty no Kaiun Jiten - Yousei no Kuni no Uranai Shugyou (Japan) (SGB Enhanced),DMG-AFUJ-JPN,B59A51C4
Ferret Monogatari (Japan),CGB-BBIJ-JPN,8B742FB5
Fish Files| The (Europe) (En|Fr|De|Es|It),CGB-BFQP-EUR,D6ABC1F8
Flintstones| The - Burgertime in Bedrock (USA),CGB-BFSE-USA,14D8CC5D
Flipper & Lopaka (Europe) (En|Fr|De|Es|It|Nl|Pt|Sv|No|Da),CGB-BFLP-EUR,08B9E4AA
Force 21 (USA) (En|Fr|De),CGB-BFCE-USA,2DCD0A0A
Formula One 2000 (USA),CGB-BFME-USA,703C057F
Fort Boyard (Europe) (En|Fr|De|Es|It|Nl|Pt),CGB-BYDP-EUR,06C8E50A
Freestyle Scooter (Europe),CGB-BRZP-EUR,EE79117D
